folder_name,image_name,landmark,x,y
cropped,Syrah 1.jpeg,PECIOLE_SINUS,585.5208460071283,803.0867430239489
cropped,Syrah 1.jpeg,L4_LEFT,413.8062256452574,1135.7838199750736
cropped,Syrah 1.jpeg,LOWER_SINUS_LEFT,395.9192860242292,1078.5456131877831
cropped,Syrah 1.jpeg,L3_LEFT,56.067433224693104,826.3397645312855
cropped,Syrah 1.jpeg,MEDIUM_SINUS_LEFT,292.1750362222656,754.7920060471727
cropped,Syrah 1.jpeg,L2_LEFT,73.95437284572131,275.4220242036166
cropped,Syrah 1.jpeg,UPPER_SINUS_LEFT,401.2853679105376,525.8391788980115
cropped,Syrah 1.jpeg,L1,583.7321520450253,19.638787622913128
cropped,Syrah 1.jpeg,UPPER_SINUS_RIGHT,798.375427497364,482.91052380754377
cropped,Syrah 1.jpeg,L2_RIGHT,1063.1021338885814,304.0411275972617
cropped,Syrah 1.jpeg,MEDIUM_SINUS_RIGHT,896.753595413019,801.2980490618459
cropped,Syrah 1.jpeg,L3_RIGHT,1080.9890735096096,888.9440532048841
cropped,Syrah 1.jpeg,LOWER_SINUS_RIGHT,798.375427497364,1037.4056520594183
cropped,Syrah 1.jpeg,L4_RIGHT,787.6432637247469,1078.5456131877831
cropped,Temp 3.jpeg,PECIOLE_SINUS,558.9445939914721,903.2437734277275
cropped,Temp 3.jpeg,L4_LEFT,506.4902999296272,1268.9667681367011
cropped,Temp 3.jpeg,LOWER_SINUS_LEFT,480.2631528987048,1204.8559642833352
cropped,Temp 3.jpeg,L3_LEFT,63.54292785182656,1118.8892045708674
cropped,Temp 3.jpeg,MEDIUM_SINUS_LEFT,222.3628737613011,967.3545772810935
cropped,Temp 3.jpeg,L2_LEFT,31.487525925143586,447.18282783446574
cropped,Temp 3.jpeg,UPPER_SINUS_LEFT,490.46259896628567,724.0249353830911
cropped,Temp 3.jpeg,L1,573.5152312308734,21.720220443946673
cropped,Temp 3.jpeg,UPPER_SINUS_RIGHT,660.9390546672813,674.4847687691267
cropped,Temp 3.jpeg,L2_RIGHT,1118.4570639844833,390.3573426008005
cropped,Temp 3.jpeg,MEDIUM_SINUS_RIGHT,843.072020159798,910.5290920474283
cropped,Temp 3.jpeg,L3_RIGHT,1114.0858728126627,1097.0332487117653
cropped,Temp 3.jpeg,LOWER_SINUS_RIGHT,706.1080301094254,1217.9695377987964
cropped,Temp 3.jpeg,L4_RIGHT,704.6509663854853,1286.4515328239827
